mp_id,full_name,club,mandate_status,district_number,label,count,url
121,Andrzej Gut-Mostowy,PiS,aktywny,14,Wypowiedzi,1,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=121&type=P&symbol=WYPOWIEDZI_POSLA
122,Kazimierz Gwiazdowski,PiS,aktywny,24,Wypowiedzi łącznie,2,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=122&type=P&symbol=WYPOWIEDZI_POSLA
123,Marcin Gwóźdź,PiS,aktywny,2,Wypowiedzi,28,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=123&type=P&symbol=WYPOWIEDZI_POSLA
124,Marek Gzik,KO,aktywny,29,Wypowiedzi łącznie,8,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=124&type=P&symbol=WYPOWIEDZI_POSLA
125,Krzysztof Habura,KO,aktywny,11,Wypowiedzi,106,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=125&type=P&symbol=WYPOWIEDZI_POSLA
126,Agnieszka Hanajczyk,KO,aktywny,11,Wypowiedzi,22,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=126&type=P&symbol=WYPOWIEDZI_POSLA
127,Iwona Hartwich,KO,aktywny,5,Wypowiedzi,15,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=127&type=P&symbol=WYPOWIEDZI_POSLA
128,Paulina Hennig-Kloska,Polska2050-TD,aktywny,37,Wypowiedzi łącznie,36,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=128&type=P&symbol=WYPOWIEDZI_POSLA
129,Krzysztof Hetman,PSL-TD,wygasl,6,Wypowiedzi łącznie,9,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=129&type=P&symbol=WYPOWIEDZI_POSLA
130,Czesław Hoc,PiS,aktywny,40,Wypowiedzi łącznie,26,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=130&type=P&symbol=WYPOWIEDZI_POSLA
131,Zbigniew Hoffmann,PiS,aktywny,37,Wypowiedzi,9,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=131&type=P&symbol=WYPOWIEDZI_POSLA
132,Marek Tomasz Hok,KO,aktywny,40,Wypowiedzi,22,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=132&type=P&symbol=WYPOWIEDZI_POSLA
133,Szymon Hołownia,Polska2050-TD,aktywny,24,Wypowiedzi,2,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=133&type=P&symbol=WYPOWIEDZI_POSLA
